,id_puesto,puesto,departamento,tipo_puesto,turno,id_empleado,apellido,nombre,email
39,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,981,MILTON,ISMAEL,ismael.milton@tractchun.com
40,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1151,PEREZ,JESUS,jesus.perez@tractchun.com
41,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1521,ROBLES,CASIMIRO,casimiro.robles@tractchun.com
42,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1721,MONTAÑO,ROSARIO,rosario.montaño@tractchun.com
43,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1727,TRUJILLO,BLANCA,blanca.trujillo@tractchun.com
44,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1798,MORENO,CAROLINA,carolina.moreno@tractchun.com
45,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1813,PEÑA,CESAR,cesar.peña@tractchun.com
46,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1955,Arango,Fernando,fernando.arango@tractchun.com
47,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1973,SOTO,GUADALUPE,guadalupe.soto@tractchun.com
48,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1992,PEREZ,RAUL,raul.perez@tractchun.com
49,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,383,Piedrahita,Esteban,esteban.piedrahita@tractchun.com
50,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,647,Agudelo,Alexander,alexander.agudelo@tractchun.com
51,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,678,ZAZUETA,ANA,ana.zazueta@tractchun.com
52,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1203,FLORES,LORENIA,lorenia.flores@tractchun.com
53,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1687,DOURIET,MARCOS,marcos.douriet@tractchun.com
54,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1830,ORTEGA,CLAUDIO,claudio.ortega@tractchun.com
55,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1858,ESPINOZA,EDITH,edith.espinoza@tractchun.com
56,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1944,SIMANCAS,OSCAR,oscar.simancas@tractchun.com
57,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1946,AGUIRRE,ERNESTO,ernesto.aguirre@tractchun.com
58,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,351,SANTACRUZ,ELVIA,elvia.santacruz@tractchun.com
59,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,902,BURGOS,EDA,eda.burgos@tractchun.com
60,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1215,VASQUEZ,MARIA,maria.vasquez@tractchun.com
61,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1317,VALLES,OCTAVIO,octavio.valles@tractchun.com
62,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1496,CHOMINA,RAMIREZ,ramirez.chomina@tractchun.com
63,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1690,BANDA,ANTONIA,antonia.banda@tractchun.com
64,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1843,DURAZO,DURAZO,durazo.durazo@tractchun.com
65,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,758,Vargas,Fernando,fernando.vargas@tractchun.com
66,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,868,VALENZUELA,CASTAÑEDA,castañeda.valenzuela@tractchun.com
67,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,876,CRUZ,CAROLINA,carolina.cruz@tractchun.com
68,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,928,SALCEDO,GUILLERMO,guillermo.salcedo@tractchun.com
69,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1049,CORELLA,CARLOS,carlos.corella@tractchun.com
70,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1150,PACHECO,CAROLINA,carolina.pacheco@tractchun.com
71,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1302,MOLINA,MENDEZ,mendez.molina@tractchun.com
72,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1522,RODRIGUEZ,MAGDALENA,magdalena.rodriguez@tractchun.com
73,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1673,SILVA,ANGEL,angel.silva@tractchun.com
74,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1765,MONTAÑO,BRACAMONTE,bracamonte.montaño@tractchun.com
75,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1817,LOPEZ,UBALDO,ubaldo.lopez@tractchun.com
76,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1828,NORIEGA,MARTHA,martha.noriega@tractchun.com
77,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1901,CALLES,EDUARDO,eduardo.calles@tractchun.com
78,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,620,Mira,Alberto,alberto.mira@tractchun.com
79,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,656,CHAVEZ,ALFREDO,alfredo.chavez@tractchun.com
80,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,840,MACIAS,GUADALUPE,guadalupe.macias@tractchun.com
81,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1024,TAPIA,HERAS,heras.tapia@tractchun.com
82,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1328,GARCIA,PATRICIA,patricia.garcia@tractchun.com
83,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1356,ANAYA,PEREZ,perez.anaya@tractchun.com
84,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1566,MOROYOQUI,ROBERTO,roberto.moroyoqui@tractchun.com
85,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1995,Zapata,Haygnes,haygnes.zapata@tractchun.com
86,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1041,D`LIRA,JAVIER,javier.d`lira@tractchun.com
87,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1315,VALLES,LOPEZ,lopez.valles@tractchun.com
88,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1023,CORTES,BOJORQUEZ,bojorquez.cortes@tractchun.com
89,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1879,VALENZUELA,EDMUNDO,edmundo.valenzuela@tractchun.com
90,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1889,ANGUIS,VILLALOBOS,villalobos.anguis@tractchun.com
91,10-32100,Supervisor de Almacén,MATERIALES,Mandos Medios,,1893,BEJARANO,EDUARDO,eduardo.bejarano@tractchun.com
92,10-32110,Almacenista,MATERIALES,Administrativo,,41,Gaviria,Yasmir,yasmir.gaviria@tractchun.com
93,10-32110,Almacenista,MATERIALES,Administrativo,,774,LOPEZ,YANEZ,yanez.lopez@tractchun.com
94,10-32110,Almacenista,MATERIALES,Administrativo,,989,Valencia,Yenifer,yenifer.valencia@tractchun.com
95,10-32110,Almacenista,MATERIALES,Administrativo,,1470,TORRICO,EDUARDO,eduardo.torrico@tractchun.com
96,10-32110,Almacenista,MATERIALES,Administrativo,,1735,PORCHAS,OCHOA,ochoa.porchas@tractchun.com
97,10-32110,Almacenista,MATERIALES,Administrativo,,1963,ALEGRIA,OCTAVIO,octavio.alegria@tractchun.com
98,10-32110,Almacenista,MATERIALES,Administrativo,,381,SOTO,ANA,ana.soto@tractchun.com
99,10-32110,Almacenista,MATERIALES,Administrativo,,450,RUIZ,EDUARDO,eduardo.ruiz@tractchun.com
100,10-32110,Almacenista,MATERIALES,Administrativo,,622,MONJARAS,EDUARDO,eduardo.monjaras@tractchun.com
101,10-32110,Almacenista,MATERIALES,Administrativo,,743,VALDEZ,ANA,ana.valdez@tractchun.com
102,10-32110,Almacenista,MATERIALES,Administrativo,,1438,PEREYDA,EDUARDO,eduardo.pereyda@tractchun.com
103,10-32110,Almacenista,MATERIALES,Administrativo,,1733,CARTAS,OCHOA,ochoa.cartas@tractchun.com
104,10-32110,Almacenista,MATERIALES,Administrativo,,251,MADRID,EDUARDO,eduardo.madrid@tractchun.com
105,10-32110,Almacenista,MATERIALES,Administrativo,,666,Orrego,Yasmir,yasmir.orrego@tractchun.com
106,10-32110,Almacenista,MATERIALES,Administrativo,,892,PEREZ,EDUARDO,eduardo.perez@tractchun.com
107,10-32110,Almacenista,MATERIALES,Administrativo,,909,ISLAS,EDUVIGES,eduviges.islas@tractchun.com
108,10-32110,Almacenista,MATERIALES,Administrativo,,1530,Lennis,Yasmir,yasmir.lennis@tractchun.com
109,10-32110,Almacenista,MATERIALES,Administrativo,,1406,URZUA,ANA,ana.urzua@tractchun.com
110,10-32110,Almacenista,MATERIALES,Administrativo,,1534,Hernandez,Gonzalo,gonzalo.hernandez@tractchun.com
111,10-32110,Almacenista,MATERIALES,Administrativo,,1540,MORENO,MYRNA,myrna.moreno@tractchun.com
112,10-32110,Almacenista,MATERIALES,Administrativo,,1561,Prisco,Ana,ana.prisco@tractchun.com
113,10-32110,Almacenista,MATERIALES,Administrativo,,1729,SANTACRUZ,NORA,nora.santacruz@tractchun.com
114,10-32110,Almacenista,MATERIALES,Administrativo,,1485,TOYOS,EDUARDO,eduardo.toyos@tractchun.com
115,10-32110,Almacenista,MATERIALES,Administrativo,,1538,Correa,Yenifer,yenifer.correa@tractchun.com
116,10-32110,Almacenista,MATERIALES,Administrativo,,1509,Betancur,Amparo,amparo.betancur@tractchun.com
117,10-32110,Almacenista,MATERIALES,Administrativo,,294,GIL,YANETH,yaneth.gil@tractchun.com
118,10-32110,Almacenista,MATERIALES,Administrativo,,975,Perez,Yasmir,yasmir.perez@tractchun.com
119,10-32110,Almacenista,MATERIALES,Administrativo,,1532,Martinez,Ana,ana.martinez@tractchun.com
120,10-32110,Almacenista,MATERIALES,Administrativo,,1558,Rua,Yenifer,yenifer.rua@tractchun.com
121,10-32110,Almacenista,MATERIALES,Administrativo,,1630,PEÑUÑURI,OCTAVIO,octavio.peñuñuri@tractchun.com
122,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1588,Ayala,Elena,elena.ayala@tractchun.com
123,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1811,Hoyos ,Guillermo,guillermo.hoyos @tractchun.com
124,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1878,Zea,Jairo,jairo.zea@tractchun.com
125,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1869,SILVA,IVAN,ivan.silva@tractchun.com
126,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1637,SUGICH,ELIZABETH,elizabeth.sugich@tractchun.com
127,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1724,VASQUEZ,EVELIA,evelia.vasquez@tractchun.com
128,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1898,Parra,Yomaira,yomaira.parra@tractchun.com
129,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1841,CHAVEZ,ICELA,icela.chavez@tractchun.com
130,15-22210,Supervisor de Mantenimiento,PRODUCCION,Mandos Medios,,1782,MEJIA,FEDERICO,federico.mejia@tractchun.com
131,15-22211,Mecánico,PRODUCCION,Operativo,,238,ENCINAS,JUAREZ,juarez.encinas@tractchun.com
132,15-22211,Mecánico,PRODUCCION,Operativo,,405,RAMOS,JUAN,juan.ramos@tractchun.com
133,15-22211,Mecánico,PRODUCCION,Operativo,,128,Taborda,José,josé.taborda@tractchun.com
134,15-22211,Mecánico,PRODUCCION,Operativo,,134,Zapata,Jose ,jose .zapata@tractchun.com
135,15-22211,Mecánico,PRODUCCION,Operativo,,374,ORTIZ,JUAN,juan.ortiz@tractchun.com
136,15-22211,Mecánico,PRODUCCION,Operativo,,181,Hoyos ,Juan ,juan .hoyos @tractchun.com
137,15-22211,Mecánico,PRODUCCION,Operativo,,321,GONZALEZ,JUAN,juan.gonzalez@tractchun.com
138,15-22211,Mecánico,PRODUCCION,Operativo,,429,PORCHAS,JULIO,julio.porchas@tractchun.com
139,15-22211,Mecánico,PRODUCCION,Operativo,,439,ROMERO,JULIO,julio.romero@tractchun.com
140,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,162,VALENCIA,ACEDO,acedo.valencia@tractchun.com
141,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,187,FUENTES,ROMARIO,romario.fuentes@tractchun.com
142,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,937,Zapata,Jaider,jaider.zapata@tractchun.com
143,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1322,Montoya,Luz,luz.montoya@tractchun.com
144,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,214,Velez,Carmen ,carmen .velez@tractchun.com
145,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,303,ALDACO,EVELIA,evelia.aldaco@tractchun.com
146,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,843,RAMOS,GALVEZ,galvez.ramos@tractchun.com
147,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,980,Macias,Jhon ,jhon .macias@tractchun.com
148,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1257,LOPEZ,LOURDES,lourdes.lopez@tractchun.com
149,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1565,Misas,Margarita,margarita.misas@tractchun.com
150,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1804,GALINDO,ROSALVA,rosalva.galindo@tractchun.com
151,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1355,CASTRO,MARGARITA,margarita.castro@tractchun.com
152,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,212,GRAJEDA,WALTER,walter.grajeda@tractchun.com
153,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,855,Gomez,Humberto ,humberto .gomez@tractchun.com
154,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1816,Gonzalez,Rubiel,rubiel.gonzalez@tractchun.com
155,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,218,TANORI,CECILIA,cecilia.tanori@tractchun.com
156,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,277,Prisco,Dario,dario.prisco@tractchun.com
157,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,342,REAL,FAUSTINO,faustino.real@tractchun.com
158,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1327,SIQUEIROS,MARCOS,marcos.siqueiros@tractchun.com
159,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,221,FRANCO,CHRISTIAN,christian.franco@tractchun.com
160,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1214,PACHECO,LEYVA,leyva.pacheco@tractchun.com
161,15-24000,Gerente de Producción,PRODUCCION,Gerencia,,1838,TANORI,SALVADOR,salvador.tanori@tractchun.com
162,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,10,MENDEZ,RICARDO,ricardo.mendez@tractchun.com
163,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,27,DURAN,DESSENS,dessens.duran@tractchun.com
164,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,63,Pareja,Fernando,fernando.pareja@tractchun.com
165,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,99,GARCIA,DIANA,diana.garcia@tractchun.com
166,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,121,MACHADO,EDELMIRA,edelmira.machado@tractchun.com
167,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,192,PEREZ,IVAN,ivan.perez@tractchun.com
168,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,213,ESTRADA,GUADALUPE,guadalupe.estrada@tractchun.com
169,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,215,ESPINOZA,IGNACIO,ignacio.espinoza@tractchun.com
170,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,236,SANTOS,MARIA,maria.santos@tractchun.com
171,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,265,SANTACRUZ,JAIME,jaime.santacruz@tractchun.com
172,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,286,Cardona,Eliana ,eliana .cardona@tractchun.com
173,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,325,GAMEZ,ENRIQUE,enrique.gamez@tractchun.com
174,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,336,Zapata,Solina,solina.zapata@tractchun.com
175,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,338,CORRALES,MARITZA,maritza.corrales@tractchun.com
176,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,353,VILLANES,MARTIN,martin.villanes@tractchun.com
177,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,361,FABELA,JOSE,jose.fabela@tractchun.com
178,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,367,ALDRETE,JUAN,juan.aldrete@tractchun.com
179,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,424,BRICKNER,ALICIA,alicia.brickner@tractchun.com
180,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,426,CORELLA,URIBE,uribe.corella@tractchun.com
181,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,493,Pemberthy,Alejandro,alejandro.pemberthy@tractchun.com
182,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,563,ANAYA,FELIPA,felipa.anaya@tractchun.com
183,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,607,GALAZ,LORENIA,lorenia.galaz@tractchun.com
184,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,664,SANTILLANEZ,HEBERTO,heberto.santillanez@tractchun.com
185,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,669,ROMERO,JORGE,jorge.romero@tractchun.com
186,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,688,CELADA,ALFONSO,alfonso.celada@tractchun.com
187,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,731,ALMARAZ,LUIS,luis.almaraz@tractchun.com
188,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,849,SORTILLON,YOLANDA,yolanda.sortillon@tractchun.com
189,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,911,ALDRETE,GABRIEL,gabriel.aldrete@tractchun.com
190,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,949,Zea,Luz,luz.zea@tractchun.com
191,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,967,REYNOSO,LAMBERTO,lamberto.reynoso@tractchun.com
192,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1000,ALEGRIA,MANUEL,manuel.alegria@tractchun.com
193,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1052,SANTOS,LAURA,laura.santos@tractchun.com
194,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1079,MORA,GERARDO,gerardo.mora@tractchun.com
195,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1103,OCHOA,GUADALUPE,guadalupe.ochoa@tractchun.com
196,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1156,Gonzalez,Isbelia,isbelia.gonzalez@tractchun.com
197,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1167,OCHOA,GABRIELA,gabriela.ochoa@tractchun.com
198,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1199,Henao,Elena,elena.henao@tractchun.com
199,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1207,ARGUELLO,CARRILLO,carrillo.arguello@tractchun.com
200,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1218,VILLANES,MANUEL,manuel.villanes@tractchun.com
201,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1243,MARTINEZ,MANUEL,manuel.martinez@tractchun.com
202,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1276,DELGADILLO,CASIMIRO,casimiro.delgadillo@tractchun.com
203,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1284,Argáez,Albeiro,albeiro.argáez@tractchun.com
204,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1289,BUSTAMANTE,MAGNOLIA,magnolia.bustamante@tractchun.com
205,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1336,LERMA,GENARO,genaro.lerma@tractchun.com
206,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1354,LOPEZ,FEDERICO,federico.lopez@tractchun.com
207,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1358,CORELLA,ALFONSO,alfonso.corella@tractchun.com
208,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1367,BOJORQUEZ,MARCOS,marcos.bojorquez@tractchun.com
209,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1373,LERMA,IBARRA,ibarra.lerma@tractchun.com
210,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1443,DOMINGUEZ,IRMA,irma.dominguez@tractchun.com
211,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1454,SANTOS,MONGE,monge.santos@tractchun.com
212,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1461,AMAYA,JEANETT,jeanett.amaya@tractchun.com
213,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1467,MUÑOZ,ALEX,alex.muñoz@tractchun.com
214,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1500,MUNGUIA,VEGA,vega.munguia@tractchun.com
215,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1528,FIGUEROA,ALFONSO,alfonso.figueroa@tractchun.com
216,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1544,Velez,Mauro,mauro.velez@tractchun.com
217,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1553,ROBLES,PAEZ,paez.robles@tractchun.com
218,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1589,LOPEZ,SALVADORA,salvadora.lopez@tractchun.com
219,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1608,ACOSTA,KARLA,karla.acosta@tractchun.com
220,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1653,COFFEY,SERGIO,sergio.coffey@tractchun.com
221,15-24100,Supervisor de Producción,PRODUCCION,Mandos Medios,,1692,ORTEGA,GERARDO,gerardo.ortega@tractchun.com
